user_id,age,daily_screen_time_hours,social_media_hours,sleep_hours,exercise_minutes,study_work_hours,productivity_score,stress_level,platform
29,24,7.62,5.56,3.74,22,3.15,71.88,Low,Twitter
30,33,7.67,2.71,8.34,78,4.73,51.07,Medium,LinkedIn
31,19,5.02,4.47,6.72,45,9.87,16.94,Medium,Instagram
32,40,10.95,6.8,6.58,111,2.03,79.76,Medium,Instagram
33,29,6.54,1.01,8.92,36,7.47,61.54,High,Twitter
34,24,6.11,1.09,6.77,13,3.34,27.58,Medium,YouTube
35,41,11.97,4.67,8.57,47,4.78,23.15,Medium,LinkedIn
36,17,6.43,5.29,4.72,77,4.76,92.57,Low,YouTube
37,35,2.96,2.09,4.44,70,9.39,64.07,Medium,Twitter
38,43,6.64,6.09,6.1,114,1.09,80.93,High,Instagram
39,22,9.95,5.35,6.05,35,4.3,23.33,Low,LinkedIn
40,23,9.55,7.42,4.36,81,8.67,59.28,Low,YouTube
41,29,9.67,1.77,7.2,59,9.19,6.3,High,Instagram
42,32,8.79,6.14,3.18,53,3.8,59.88,Medium,Snapchat
43,19,3.8,1.13,7.14,116,3.18,21.15,Low,Twitter
44,17,10.48,4.74,5.74,78,5.15,67.24,Low,YouTube
45,21,10.83,4.64,7.13,112,7.71,93.26,Medium,Snapchat
46,19,3.14,3.41,5.86,62,2.39,46.41,High,YouTube
47,44,2.44,6.83,8.86,96,8.06,31.23,Medium,YouTube
48,33,11.73,0.53,5.01,119,5.61,13.2,High,Snapchat
49,41,10.55,4.4,8.9,110,2.27,67.39,Medium,Twitter
50,49,10.83,2.13,3.39,47,7.05,58.83,Low,Twitter
51,25,10.75,6.08,7.1,119,6.65,54.91,Medium,Snapchat
52,29,6.96,0.82,5.73,21,6.6,93.66,Medium,Twitter
53,46,8.11,6.74,7.93,42,7.79,97.84,Low,LinkedIn
54,30,7.0,6.79,7.74,40,2.63,71.98,Low,LinkedIn
55,23,1.56,6.75,7.8,16,7.28,20.4,High,Instagram
56,29,9.2,1.64,3.57,62,8.99,94.73,High,Snapchat
57,38,6.56,5.23,7.93,89,5.77,35.15,Medium,LinkedIn
58,36,8.12,0.61,4.28,78,5.37,8.84,Medium,YouTube
59,31,6.53,6.86,3.15,103,8.18,24.87,Low,Twitter
60,33,6.41,5.92,4.31,17,2.32,83.21,Low,LinkedIn
61,39,2.89,4.48,5.88,71,4.07,21.17,Medium,LinkedIn
62,41,4.07,5.98,7.45,2,8.68,40.11,Medium,Snapchat
63,40,2.75,1.21,4.31,53,5.5,28.08,Medium,YouTube
64,44,3.15,4.46,3.68,118,8.56,5.73,High,LinkedIn
65,30,11.7,2.68,6.88,114,3.27,56.61,Medium,YouTube
66,16,2.68,7.79,8.9,13,4.51,63.25,Low,Twitter
67,40,3.96,6.93,6.61,33,8.41,79.32,Medium,Twitter
68,22,7.5,6.0,7.15,96,2.47,42.05,Low,Twitter
69,24,7.71,7.5,6.37,100,9.05,14.99,Low,Instagram
70,39,2.69,3.1,7.69,112,3.79,65.56,High,Snapchat
71,16,9.73,7.26,8.85,0,9.75,89.12,Low,Twitter
72,23,9.64,2.94,6.26,116,8.45,12.86,High,Instagram
73,39,3.61,6.0,5.5,47,5.1,19.08,Medium,Instagram
74,26,4.18,6.02,8.16,98,7.68,33.59,Low,Snapchat
75,32,11.32,0.64,8.82,9,6.0,65.38,Medium,Twitter
76,23,10.08,3.21,3.78,82,8.68,52.86,Medium,Snapchat
77,48,8.68,0.65,6.47,10,5.66,71.52,Low,Snapchat
78,20,1.9,7.98,7.75,118,9.89,4.1,Medium,LinkedIn
79,43,5.6,1.42,6.2,98,2.2,81.24,Low,Snapchat
80,22,7.15,4.57,5.46,65,7.09,98.76,Low,Instagram
81,24,3.06,6.43,6.93,2,3.21,5.62,Medium,Twitter
82,23,5.93,2.01,4.62,14,2.72,50.05,Low,Snapchat
83,27,7.61,4.14,5.09,58,4.67,74.25,High,Instagram
84,49,4.6,5.06,8.95,115,4.31,48.16,High,Twitter
85,48,9.59,1.7,6.82,104,1.42,59.7,Medium,YouTube
86,38,10.24,6.34,8.24,63,4.85,92.17,Low,Instagram
87,39,4.56,2.75,7.85,46,9.57,54.44,Medium,YouTube
88,37,10.23,2.08,6.91,91,5.2,24.42,Medium,YouTube
89,42,2.14,4.69,8.04,1,3.72,74.12,Low,LinkedIn
90,16,10.22,3.58,4.72,29,9.54,38.17,Medium,YouTube
91,29,2.68,7.4,6.82,37,5.55,29.23,Low,Instagram
92,18,1.91,7.1,6.54,4,3.58,25.59,Low,Snapchat
93,16,8.06,4.13,6.73,5,8.05,8.86,Medium,Twitter
94,20,6.19,3.19,4.01,4,3.01,93.36,High,LinkedIn
95,41,10.99,2.94,4.66,117,3.23,56.77,High,Twitter
96,29,5.0,2.51,4.72,11,3.92,95.55,High,Instagram
97,42,4.16,4.58,6.61,3,4.55,86.32,Low,Snapchat
98,24,6.51,6.54,8.84,23,6.25,3.99,Medium,YouTube
99,30,6.02,2.83,8.72,24,5.64,25.48,Low,YouTube
100,30,4.79,1.93,4.36,25,7.69,32.22,Medium,Instagram
101,41,8.63,4.07,4.83,54,7.45,49.49,Low,Instagram
102,28,9.36,1.02,3.22,45,1.41,71.9,Medium,Twitter
103,47,10.38,5.76,5.39,45,2.21,68.4,High,Twitter
104,47,11.7,4.39,8.01,42,2.94,98.74,High,Twitter
105,19,3.93,4.22,8.49,59,6.38,92.41,High,YouTube
106,45,8.88,2.75,4.42,32,9.06,19.44,High,Instagram
107,38,5.34,7.29,4.59,20,3.92,86.13,Medium,LinkedIn
108,30,8.45,1.18,4.33,86,9.67,84.45,Medium,YouTube
109,44,6.24,7.02,5.1,100,2.56,57.91,High,LinkedIn
110,28,11.93,3.33,7.83,36,9.32,34.47,Medium,Twitter
111,47,9.02,7.1,6.88,11,8.21,21.65,Low,Twitter
112,22,11.48,5.97,7.72,100,4.5,22.03,Medium,Instagram
113,37,10.18,1.28,6.5,20,2.86,34.44,Medium,Snapchat
114,43,10.93,6.74,4.55,12,4.52,50.89,Low,Snapchat
115,17,9.96,5.62,4.37,106,2.92,58.8,High,Twitter
116,21,6.05,0.74,3.05,116,6.05,33.18,Low,Snapchat
117,43,3.77,1.5,7.69,32,6.17,36.3,High,Snapchat
118,43,5.07,5.27,8.08,107,7.91,2.34,Low,Twitter
119,35,1.22,5.47,7.61,69,5.75,1.21,High,Instagram
120,45,6.76,6.1,3.45,106,4.11,90.81,Low,YouTube
121,26,6.56,5.9,7.57,75,9.2,2.39,Medium,Snapchat
122,43,6.78,5.45,3.27,60,1.7,4.28,Low,LinkedIn
123,40,11.71,6.25,3.63,101,8.28,21.36,Low,Snapchat
124,48,11.03,4.81,5.64,119,4.69,74.6,High,YouTube
125,16,2.78,2.46,5.86,29,2.63,68.21,High,YouTube
126,42,5.06,7.34,7.9,36,2.08,65.07,Medium,YouTube
127,28,5.66,0.64,7.08,81,2.99,57.92,Low,YouTube
128,18,4.97,3.25,3.92,15,2.1,20.97,Medium,LinkedIn
129,21,9.78,5.97,4.36,44,5.13,40.4,High,Instagram
130,23,6.76,3.7,4.71,70,4.15,48.33,Low,YouTube
131,42,7.29,0.69,3.74,109,4.21,58.66,Medium,YouTube
132,24,10.38,0.99,4.73,0,2.41,20.64,Medium,LinkedIn
133,48,9.87,5.36,7.37,52,6.94,73.17,High,Snapchat
134,39,2.45,7.74,4.45,27,6.47,31.58,Low,Snapchat
135,30,8.85,4.64,8.01,52,9.84,66.36,High,LinkedIn
136,47,5.79,4.3,5.82,43,2.51,51.88,High,Snapchat
137,47,4.24,2.89,4.94,66,8.51,59.63,Low,Twitter
138,39,1.55,2.43,5.47,113,1.3,41.9,Low,Instagram
139,27,6.36,0.66,7.26,106,1.66,45.06,High,Snapchat
140,17,4.91,2.55,6.1,115,6.83,86.95,High,LinkedIn
141,18,3.77,3.87,3.04,38,4.66,48.11,Low,Twitter
142,32,8.64,1.98,8.53,9,3.07,79.59,Medium,Instagram
143,17,9.46,1.16,3.4,50,1.02,40.11,Medium,YouTube
144,17,3.69,5.88,8.63,108,6.97,70.35,Low,Snapchat
145,43,1.54,7.21,3.17,13,4.97,24.06,Low,Instagram
146,38,10.34,7.53,7.63,78,2.54,91.78,Low,Instagram
147,47,1.11,5.13,6.21,5,9.75,96.76,Medium,YouTube
148,48,11.31,0.9,6.03,38,4.16,90.23,Low,Instagram
149,16,7.9,6.06,3.44,108,3.73,35.3,High,Snapchat
150,34,4.54,1.33,4.43,79,5.59,28.37,Low,Twitter
151,17,3.71,5.52,7.67,110,3.49,19.06,Low,Snapchat
152,41,1.1,6.35,8.35,81,3.45,87.43,High,LinkedIn
153,47,3.59,5.94,6.17,98,9.7,12.74,Low,Instagram
154,21,2.52,7.64,5.12,47,3.35,64.59,High,YouTube
155,47,7.73,6.04,3.36,24,6.45,33.81,Medium,LinkedIn
156,19,2.83,5.7,7.09,96,1.34,19.6,Medium,Instagram
157,26,6.81,2.46,4.67,119,2.39,19.26,Low,Instagram
158,32,7.49,7.44,3.33,32,1.2,87.23,Medium,Twitter
159,39,4.28,1.85,7.0,82,5.81,86.12,Low,YouTube
160,20,1.39,7.29,5.91,101,5.42,27.93,Low,Snapchat
161,49,1.41,2.84,3.07,74,3.98,4.34,High,Instagram
162,21,1.29,1.48,3.67,119,7.3,87.04,High,LinkedIn
163,37,9.13,6.7,7.2,102,6.63,6.68,Low,YouTube
164,26,4.5,0.52,3.38,66,6.4,9.39,Medium,Snapchat
165,31,9.76,6.74,8.2,101,4.03,82.37,Low,LinkedIn
166,48,5.75,2.47,4.87,64,3.94,81.9,Medium,YouTube
167,24,5.98,7.14,3.53,39,8.86,21.05,High,Twitter
168,21,6.64,5.69,7.56,24,5.9,4.78,Medium,LinkedIn
169,31,8.84,5.5,6.15,56,3.45,7.24,Low,YouTube
170,44,4.01,3.24,4.84,31,5.89,45.89,Medium,Snapchat
171,18,2.34,0.95,5.44,45,3.4,42.41,Medium,Instagram
172,35,7.12,6.73,3.13,99,2.67,19.05,Low,YouTube
173,34,4.6,1.78,6.98,3,3.54,90.99,High,LinkedIn
174,41,5.87,3.29,5.19,118,6.66,55.69,Low,Snapchat
175,18,8.12,5.0,7.28,22,5.64,80.93,High,Instagram
176,34,6.44,4.12,6.77,79,2.48,11.27,Medium,Snapchat
177,35,7.82,1.99,6.91,74,9.17,97.37,High,Instagram
178,47,6.99,1.55,7.76,21,5.48,81.16,Medium,Twitter
179,22,9.14,1.42,6.79,102,8.14,29.49,High,Twitter
180,48,8.77,6.97,5.51,32,3.98,3.06,Low,Snapchat
181,33,6.88,0.74,5.34,40,9.62,17.29,Medium,Instagram
182,16,8.47,7.83,3.72,61,7.77,42.43,Low,Instagram
183,26,10.61,1.99,7.68,37,5.09,1.3,Low,YouTube
184,43,5.75,1.33,7.57,55,9.12,5.04,High,YouTube
185,40,5.54,4.83,4.48,62,7.46,10.76,Low,Twitter
186,38,9.41,1.1,8.18,76,4.87,81.16,High,Twitter
187,46,7.41,5.02,6.53,84,9.77,55.14,High,Instagram
188,45,1.78,6.88,5.87,75,3.69,19.91,Medium,Instagram
189,22,10.81,0.86,3.1,54,3.31,27.18,Low,LinkedIn
190,31,1.34,6.5,5.3,50,9.05,64.58,Low,YouTube
191,41,9.23,3.46,6.84,89,7.37,32.54,Low,Instagram
192,17,9.35,1.7,3.54,112,4.11,68.53,Low,Instagram
193,16,11.48,1.82,5.76,118,3.09,78.04,High,Twitter
194,27,1.6,7.39,8.96,116,2.6,31.36,High,Snapchat
195,20,7.57,1.33,7.3,64,3.82,37.28,Low,Twitter
196,47,5.71,7.0,6.28,104,2.13,5.96,High,Instagram
197,24,4.64,4.58,6.2,56,2.31,82.16,High,YouTube
198,34,1.99,0.79,3.26,85,7.99,61.0,Low,Snapchat
199,31,7.19,3.98,8.74,26,1.57,88.94,High,LinkedIn
200,18,6.27,6.63,8.57,56,4.95,19.7,Low,Twitter
201,35,2.15,5.95,7.09,54,4.64,96.1,Medium,LinkedIn
202,39,7.74,4.17,3.59,95,9.64,70.97,High,YouTube
203,48,9.12,6.95,4.25,71,5.19,20.46,Medium,Snapchat
204,39,9.44,1.4,4.1,97,2.45,46.83,Medium,YouTube
205,26,10.96,7.32,6.12,81,1.8,70.2,Medium,Snapchat
206,23,5.5,6.85,4.25,3,7.59,2.68,High,LinkedIn
207,35,11.48,5.81,7.17,64,2.33,78.25,Low,LinkedIn
208,40,10.52,6.63,6.27,55,9.44,94.82,Low,YouTube
209,40,4.26,4.58,3.11,52,6.03,9.07,Medium,Snapchat
210,44,2.75,5.56,7.46,43,4.62,89.91,Medium,LinkedIn
211,33,5.79,4.7,4.13,15,7.16,46.98,Medium,Snapchat
212,33,5.42,3.17,7.95,93,2.79,52.04,Medium,LinkedIn
213,17,7.33,4.77,5.13,22,4.44,84.17,High,Instagram
214,31,7.42,2.43,5.03,30,1.3,59.38,High,LinkedIn
215,48,9.25,3.8,3.07,27,8.9,35.79,Medium,Instagram
216,19,6.61,2.61,8.93,49,4.83,73.53,High,YouTube
217,48,2.15,1.42,6.67,100,7.83,14.69,Medium,Instagram
218,29,10.44,2.91,5.54,15,9.25,66.96,Low,YouTube
219,36,4.41,6.89,3.58,40,6.88,77.69,Medium,Instagram
220,35,11.68,3.36,7.19,8,4.38,34.14,High,YouTube
221,23,2.3,6.11,4.7,1,6.58,97.05,Low,LinkedIn
222,22,11.54,1.81,8.93,109,4.24,64.42,High,Twitter
223,18,2.0,3.68,8.7,42,6.11,10.47,High,Twitter
224,32,3.54,1.36,7.41,65,4.89,96.66,High,Twitter
225,48,1.51,1.54,8.83,95,2.35,74.66,Low,Instagram
226,27,8.76,5.13,3.63,79,8.02,69.87,Medium,Twitter
227,37,10.35,5.06,4.68,116,5.47,26.07,Low,YouTube
228,37,5.77,2.1,4.52,114,2.71,47.84,Low,Instagram
229,45,11.21,4.06,3.43,76,9.03,90.2,High,Instagram
230,23,7.49,6.97,8.83,48,8.68,31.51,Low,LinkedIn
231,42,7.93,1.81,3.36,90,6.03,42.91,Low,YouTube
232,42,10.3,0.64,8.14,94,9.73,26.42,High,YouTube
233,49,4.26,5.39,7.61,96,9.34,22.37,Medium,LinkedIn
234,36,4.9,0.9,5.26,20,9.07,5.33,Low,Snapchat
235,45,10.97,7.85,3.11,18,2.2,73.95,High,LinkedIn
236,48,10.91,5.07,3.04,111,3.65,9.99,Medium,Snapchat
237,43,11.74,4.03,4.22,56,4.69,53.6,Medium,Twitter
238,48,10.92,3.72,5.96,76,8.49,5.93,Medium,Twitter
239,20,2.4,4.8,5.75,59,8.84,98.4,Medium,Twitter
240,34,10.06,1.18,6.51,18,7.76,71.24,Low,Twitter
241,19,5.51,7.48,7.63,98,5.25,63.41,Low,LinkedIn
242,32,11.9,5.19,5.26,63,2.46,19.45,High,Twitter
243,43,6.2,1.88,3.96,34,1.32,53.28,Low,LinkedIn
244,45,7.09,4.72,7.8,32,7.29,50.85,Low,YouTube
245,44,6.83,1.5,5.0,66,9.95,36.51,Low,YouTube
246,21,4.54,0.63,4.72,111,4.11,16.46,Medium,Instagram
247,39,1.83,5.23,7.59,84,6.12,37.35,Low,YouTube
248,44,10.85,5.36,8.6,103,8.3,61.3,High,Snapchat
249,46,9.83,4.88,8.49,86,2.68,49.25,Low,Snapchat
250,48,2.53,1.88,3.82,47,8.47,57.43,Medium,Twitter
251,36,9.54,5.03,6.02,59,6.63,57.63,High,Instagram
252,47,7.88,0.92,3.56,108,6.13,25.22,Medium,LinkedIn
253,38,5.5,5.07,8.77,44,7.86,11.99,Low,LinkedIn
254,48,3.79,4.66,4.29,74,3.17,52.65,High,LinkedIn
255,18,10.46,5.41,4.18,67,6.53,89.34,Medium,Twitter
256,33,8.7,7.22,8.33,67,3.16,99.54,Medium,Instagram
257,40,7.03,6.88,8.81,14,2.62,78.8,Medium,YouTube
258,46,7.71,7.85,7.19,91,6.61,22.89,Low,YouTube
259,18,2.0,7.82,3.73,99,3.42,63.4,Low,Twitter
260,39,6.21,6.29,5.92,71,7.43,24.65,High,Snapchat
261,47,3.13,7.67,7.9,87,5.63,58.07,Medium,LinkedIn
262,37,3.29,7.0,6.43,97,7.25,48.59,Medium,Snapchat
263,38,8.27,5.96,3.8,14,9.02,38.77,High,YouTube
264,17,11.02,1.07,4.03,22,2.24,64.52,Medium,Twitter
265,42,5.44,0.87,8.18,59,1.6,85.91,Low,Snapchat
266,17,3.29,6.78,6.16,90,4.6,34.41,Low,YouTube
267,41,8.14,4.17,7.24,13,7.45,49.14,High,Twitter
268,32,10.58,6.61,5.24,116,8.98,46.13,Medium,LinkedIn
269,48,9.23,2.85,6.19,1,1.31,25.67,Low,Instagram
270,24,10.56,3.48,8.86,98,8.14,42.69,Low,YouTube
271,44,6.9,5.75,4.98,42,1.68,3.14,Medium,Instagram
272,41,9.27,7.36,7.05,70,6.23,52.23,High,Twitter
273,40,2.54,1.16,4.04,15,4.1,72.36,Low,YouTube
274,39,4.83,6.96,3.73,85,1.16,37.39,Low,LinkedIn
275,28,5.29,6.45,7.7,117,1.87,74.91,Medium,LinkedIn
276,22,6.62,2.87,8.06,27,4.18,75.31,High,Twitter
277,35,11.22,3.16,7.01,31,9.58,98.43,Low,Instagram
278,16,10.62,0.85,3.95,70,2.39,55.05,Medium,Snapchat
279,23,2.48,0.62,4.44,85,3.45,41.0,Low,LinkedIn
280,31,2.9,4.08,8.47,106,9.95,64.31,Low,Instagram
281,29,4.93,1.22,4.73,1,5.33,63.03,Low,Instagram
282,27,4.2,1.96,7.91,71,3.36,98.75,Low,YouTube
283,38,7.76,6.85,4.72,6,6.54,71.06,High,Snapchat
284,30,10.93,4.78,8.64,37,4.92,31.35,High,Twitter
285,43,11.59,5.25,8.49,47,8.72,19.56,Medium,LinkedIn
286,49,8.19,1.91,3.26,84,1.07,79.48,Low,Snapchat
287,17,10.22,6.71,7.62,106,9.97,18.8,High,Instagram
288,47,6.78,7.01,4.02,85,1.6,63.12,High,Snapchat
289,38,3.29,4.42,4.29,98,5.83,14.1,Medium,YouTube
290,37,6.77,7.34,5.76,81,7.28,72.15,Medium,YouTube
291,40,7.11,6.84,6.46,72,5.95,78.51,Medium,Instagram
292,37,9.17,5.98,4.95,112,3.71,99.06,High,Instagram
293,37,3.42,6.01,6.45,1,8.7,95.47,Low,Twitter
294,21,5.05,1.29,4.02,41,4.87,71.67,Medium,LinkedIn
295,30,5.0,2.53,3.13,41,3.71,28.48,High,LinkedIn
296,48,11.55,1.0,6.43,80,7.92,5.33,Medium,Snapchat
297,23,5.88,0.57,6.1,103,2.31,55.97,Low,LinkedIn
298,20,9.31,1.69,7.14,19,2.85,76.83,Medium,Instagram
299,19,9.26,7.1,6.9,5,3.27,2.05,High,Snapchat
300,21,3.92,2.3,8.38,10,4.91,52.96,High,LinkedIn
301,47,7.29,7.78,5.76,68,1.18,88.41,Medium,Twitter
302,45,10.84,4.98,3.05,119,9.93,64.08,Medium,Instagram
303,31,6.23,2.28,6.78,73,6.4,68.69,Low,Instagram
304,28,11.4,4.23,7.05,86,9.74,47.96,Medium,LinkedIn
305,45,3.36,2.14,6.13,96,8.27,94.37,Medium,Twitter
306,34,1.82,7.88,7.14,39,2.21,38.09,Low,Twitter
307,32,10.81,6.85,4.94,35,2.88,38.53,Low,YouTube
308,34,10.32,0.7,3.89,102,1.31,52.26,Low,Instagram
309,43,11.92,7.61,6.99,50,8.5,59.01,Low,Instagram
310,41,8.47,5.91,4.47,46,6.34,54.21,High,LinkedIn
311,41,11.3,1.12,5.74,97,2.94,82.04,Medium,LinkedIn
312,38,10.1,5.53,5.95,16,9.73,83.62,High,Twitter
313,24,10.29,5.35,5.86,25,7.63,14.03,Medium,Instagram
314,27,7.26,2.14,6.59,52,7.35,60.02,High,LinkedIn
315,16,5.21,6.19,3.18,47,3.4,98.41,High,Twitter
316,16,11.28,1.15,8.94,26,3.82,60.37,Medium,Instagram
317,49,5.75,4.17,7.3,45,7.01,69.13,High,YouTube
318,47,6.93,0.57,5.55,66,6.34,86.28,Low,Instagram
319,40,5.91,7.77,4.15,18,6.83,86.79,High,YouTube
320,16,7.21,6.14,3.48,71,8.91,2.7,High,Instagram
321,31,6.18,1.69,7.03,80,2.44,24.7,Medium,Twitter
322,20,1.53,3.06,4.9,113,2.05,86.42,High,Instagram
323,37,10.7,1.7,4.38,64,6.08,67.04,High,LinkedIn
324,44,5.89,6.25,5.28,70,5.5,63.54,High,Twitter
325,18,7.48,0.94,6.56,35,4.63,86.13,High,YouTube
326,27,2.53,6.8,7.03,66,9.14,80.85,High,Instagram
327,41,1.04,7.57,6.87,82,6.03,75.38,Medium,YouTube
328,31,3.7,5.57,8.18,41,6.11,5.69,Low,LinkedIn
329,37,8.75,2.1,4.31,90,4.3,78.38,Low,Twitter
330,44,2.09,3.2,6.82,66,4.1,20.86,Medium,YouTube
331,29,11.0,4.08,3.61,97,9.89,3.57,High,Snapchat
332,43,3.37,5.03,6.29,68,6.61,49.7,High,Instagram
333,20,3.25,5.51,6.5,48,8.43,94.29,Medium,YouTube
334,45,3.0,4.66,4.3,36,5.03,88.76,Low,Snapchat
335,20,1.15,3.13,5.35,45,2.73,98.22,High,Snapchat
336,27,9.49,7.18,7.96,79,3.92,25.41,Medium,LinkedIn
337,31,10.63,1.11,3.89,55,4.12,69.84,High,YouTube
338,41,7.76,4.0,5.61,118,6.08,6.53,Low,LinkedIn
339,41,3.07,6.32,8.6,62,2.39,80.54,High,Instagram
340,36,4.14,0.96,6.02,77,4.48,52.85,Low,Twitter
341,48,6.24,5.79,7.35,29,1.91,99.63,High,Snapchat
342,45,11.5,6.65,7.96,95,5.47,24.76,Medium,YouTube
343,38,3.72,5.46,4.22,62,9.53,78.68,Low,Instagram
344,25,9.05,0.6,4.31,114,4.05,17.92,High,YouTube
345,20,5.83,1.85,7.55,108,1.45,29.43,Low,Snapchat
346,49,4.28,3.07,7.52,75,6.48,30.26,Medium,Twitter
347,46,6.02,2.25,3.36,90,6.71,58.21,High,Instagram
348,25,1.78,7.72,4.93,25,5.32,37.15,Medium,Snapchat
349,34,9.79,5.39,5.39,111,4.57,44.43,Low,Instagram
350,47,3.68,2.73,7.97,92,9.03,52.66,High,YouTube
351,16,8.98,7.47,5.53,22,9.45,6.57,Medium,Snapchat
352,20,1.75,6.05,8.56,112,7.06,66.87,Low,Snapchat
353,19,11.51,2.63,8.98,85,5.51,65.28,High,Snapchat
354,31,3.12,3.34,7.68,19,1.61,96.52,Medium,Twitter
355,39,10.71,2.0,7.0,101,3.71,14.21,Low,Snapchat
356,31,9.9,7.78,5.35,45,3.57,4.07,High,Instagram
357,17,11.65,4.38,3.4,79,1.52,14.19,Medium,Snapchat
358,43,6.26,7.22,6.44,30,8.59,42.82,High,Twitter
359,47,9.0,3.1,5.17,66,8.8,22.18,High,Twitter
360,42,5.08,6.96,5.11,20,9.21,22.42,Medium,YouTube
361,35,3.03,0.9,7.13,50,7.68,87.07,High,Instagram
362,39,5.87,7.87,5.78,38,7.39,33.06,Medium,LinkedIn
363,27,2.82,7.34,7.51,62,5.3,42.26,High,Instagram
364,48,11.8,3.22,5.39,68,8.72,68.73,Low,LinkedIn
365,48,2.06,6.31,3.91,19,5.59,34.65,Medium,Instagram
366,27,7.48,6.14,5.77,118,1.27,55.88,Medium,Snapchat
367,18,7.89,7.26,8.71,22,6.26,52.76,Low,LinkedIn
368,16,6.92,2.8,7.81,95,4.51,26.89,Medium,Instagram
369,48,8.28,3.99,4.23,41,5.69,71.99,High,YouTube
370,25,2.28,6.99,5.35,72,4.97,83.58,Medium,Twitter
371,44,7.11,6.34,8.57,2,5.47,78.56,High,Instagram
372,28,4.16,3.45,3.74,26,1.98,40.13,High,Instagram
373,27,11.34,6.84,4.52,90,1.13,93.36,Medium,Twitter
374,46,9.38,0.85,4.57,73,4.06,90.0,Medium,LinkedIn
375,17,11.7,6.37,6.43,79,3.29,27.42,Medium,LinkedIn
376,38,1.41,2.05,5.46,23,3.25,13.27,Low,Snapchat
377,32,4.14,2.65,3.48,86,9.43,89.49,Medium,Snapchat
378,41,3.15,4.2,6.78,8,8.37,74.74,Medium,Snapchat
379,23,1.12,3.87,3.59,1,1.12,31.79,High,YouTube
380,44,3.67,4.4,6.64,5,1.08,31.18,Medium,Twitter
381,41,8.47,4.59,6.04,100,7.99,32.89,Low,LinkedIn
382,25,3.54,2.99,5.96,98,9.86,86.27,High,YouTube
383,41,6.6,1.81,3.4,70,5.19,24.78,High,Snapchat
384,49,10.77,6.26,6.84,78,4.9,65.46,Medium,Twitter
385,22,8.63,3.5,5.59,20,3.48,83.61,High,Snapchat
386,19,5.34,4.29,5.47,101,7.0,39.35,High,Instagram
387,26,5.1,5.34,6.58,99,5.24,7.09,Medium,Snapchat
388,44,6.01,7.32,6.64,86,2.51,76.13,Medium,Twitter
389,40,2.95,5.81,3.09,28,5.33,2.97,Low,LinkedIn
390,36,7.97,0.84,3.75,12,4.39,83.26,Low,Twitter
391,25,5.01,6.79,4.42,118,9.01,36.73,Medium,LinkedIn
392,24,10.38,7.92,7.07,68,7.94,80.33,High,Twitter
393,39,9.32,4.04,6.46,110,7.31,54.99,Low,Twitter
394,33,7.72,7.77,7.55,102,3.94,36.56,Low,LinkedIn
395,47,5.01,4.6,7.44,102,2.26,90.03,Medium,Instagram
396,39,3.31,3.95,8.12,41,8.78,76.94,High,Twitter
397,38,9.54,2.99,5.26,108,4.08,8.99,Low,Twitter
398,47,6.35,5.43,5.07,119,6.34,93.13,Medium,YouTube
399,27,3.47,2.22,7.99,106,6.32,47.23,Medium,Snapchat
400,28,3.15,1.29,4.43,0,9.35,15.75,High,YouTube
401,38,2.82,0.7,5.77,19,2.55,77.35,Medium,Twitter
